Date,Open,High,Low,Close,Adj Close,Volume
22/2/2006,726.780029,734,725.119995,733.530029,733.530029,22223800
23/2/2006,733.530029,736.619995,728.72998,732.450012,732.450012,21442100
24/2/2006,732.450012,737.210022,729.460022,736.599976,736.599976,19330100
27/2/2006,736.599976,742.77002,736.599976,740.630005,740.630005,19753200
28/2/2006,740.630005,740.630005,729.150024,730.640015,730.640015,23708600
1/3/2006,730.640015,742.349976,730.640015,742.349976,742.349976,23083200
2/3/2006,742.349976,743.039978,735.950012,740.159973,740.159973,24945900
3/3/2006,740.159973,745.179993,736.52002,738.440002,738.440002,21529500
6/3/2006,738.440002,738.940002,728.890015,731.159973,731.159973,22801900
7/3/2006,731.159973,731.159973,719.169983,721.059998,721.059998,22680500
8/3/2006,721.059998,723.799988,713.619995,721.840027,721.840027,24428700
9/3/2006,721.840027,726.419983,717.630005,718.280029,718.280029,21401100
10/3/2006,718.280029,726.340027,714.859985,726.340027,726.340027,21234500
13/3/2006,726.340027,734.25,726.340027,728.039978,728.039978,20703300
14/3/2006,728.039978,736.119995,724.969971,736.099976,736.099976,21652700
15/3/2006,736.099976,742.940002,734.950012,742.940002,742.940002,22930000
16/3/2006,742.940002,748.349976,742.940002,743.789978,743.789978,22921800
17/3/2006,743.789978,746.75,741.73999,746.090027,746.090027,25496200
20/3/2006,746.090027,747.159973,741.73999,745.619995,745.619995,19768300
21/3/2006,745.619995,749.599976,735.469971,736.099976,736.099976,21473700
22/3/2006,736.099976,745.679993,733.690002,744.849976,744.849976,20398100
23/3/2006,744.849976,747.630005,742.01001,747.599976,747.599976,19809400
24/3/2006,747.599976,753.869995,747.299988,753.830017,753.830017,23260700
27/3/2006,753.830017,754.320007,750.330017,754.030029,754.030029,20297000
28/3/2006,754.030029,757.909973,749.309998,751.27002,751.27002,21485800
29/3/2006,751.27002,764.169983,751.27002,764.169983,764.169983,21435400
30/3/2006,764.169983,767.159973,759.26001,762.590027,762.590027,22945600
31/3/2006,762.590027,765.140015,759.039978,765.140015,765.140015,22367100
3/4/2006,765.23999,768.97998,758.659973,759.219971,759.219971,24940800
4/4/2006,759.219971,764.539978,756.76001,762.320007,762.320007,21476600
5/4/2006,762.320007,766.789978,758.51001,766.26001,766.26001,24200200
6/4/2006,766.26001,767.080017,761.150024,766.22998,766.22998,22816800
7/4/2006,766.22998,771.539978,754.580017,756.130005,756.130005,20824700
10/4/2006,756.130005,759.200012,750.890015,752.950012,752.950012,18983200
11/4/2006,752.950012,755.390015,740.23999,742.109985,742.109985,22328800
12/4/2006,742.109985,748.330017,741.549988,747.77002,747.77002,19381000
13/4/2006,747.77002,753.630005,743.460022,751.109985,751.109985,18919400
17/4/2006,751.109985,754.080017,744.72998,749.469971,749.469971,17946500
18/4/2006,749.450012,770.049988,749.450012,769.809998,769.809998,25954400
19/4/2006,769.809998,778.419983,768.48999,778.419983,778.419983,24473100
20/4/2006,778.419983,778.419983,768.099976,774.669983,774.669983,25129200
21/4/2006,774.669983,778.570007,768.299988,772.119995,772.119995,23926300
24/4/2006,772.119995,772.119995,763.049988,766.140015,766.140015,21173300
25/4/2006,766.140015,767.450012,760.320007,764.820007,764.820007,23663800
26/4/2006,764.820007,771.859985,763.559998,765.22998,765.22998,25026900
27/4/2006,765.22998,771.049988,755.26001,761.400024,761.400024,27720100
28/4/2006,761.400024,767.76001,758.130005,764.539978,764.539978,24199200
1/5/2006,764.539978,770.820007,760.320007,761.119995,761.119995,24370400
